category,price,link,other_colors,height,depth,width,materials,cost
Chairs,100,https://www.ikea.com/sa/en/p/langfjaell-pair-of-armrests-black-50320565/,Yes,32,27,15,plastic,71
Chairs,225,https://www.ikea.com/sa/en/p/ekedalen-chair-dark-brown-orrsta-light-grey-80340760/,No,95,51,43,wood,164.25
Chairs,1995,https://www.ikea.com/sa/en/p/landskrona-armchair-grann-bomstad-black-metal-s49031774/,Yes,78,89,89,wood,1456.35
Chairs,2350,https://www.ikea.com/sa/en/p/delaktig-armchair-gunnared-beige-s69289008/,Yes,79,84,94,steel,1739
Chairs,2500,https://www.ikea.com/sa/en/p/landskrona-chaise-longue-add-on-unit-grann-bomstad-golden-brown-wood-s79269180/,Yes,78,158,78,wood,1800
Chairs,225,https://www.ikea.com/sa/en/p/nordviken-chair-black-40369109/,Yes,97,56,44,wood,173.25
Chairs,395,https://www.ikea.com/sa/en/p/norraker-bar-stool-with-backrest-birch-20429010/,Yes,100,48,42,wood,300.2
Chairs,375,https://www.ikea.com/sa/en/p/kornsjoe-storage-bench-black-90471581/,No,51,47,70,wood,266.25
Chairs,99,https://www.ikea.com/sa/en/p/bekvaem-step-stool-black-30178884/,No,50,39,43,plastic,69.3
Chairs,95,https://www.ikea.com/sa/en/p/tranaroe-stool-side-table-in-outdoor-red-10411421/,No,43,41,56,plastic,71.25
Chairs,129,https://www.ikea.com/sa/en/p/franklin-bar-stool-with-backrest-foldable-black-black-50406465/,No,95,44,50,steel,100.62
Chairs,195,https://www.ikea.com/sa/en/p/agam-junior-chair-black-70253541/,No,79,43,41,wood,144.3
Chairs,1395,https://www.ikea.com/sa/en/p/muren-recliner-nordvalla-beige-90299029/,Yes,97,94,85,steel,976.5
Chairs,195,https://www.ikea.com/sa/en/p/leifarne-chair-dark-yellow-broringe-chrome-plated-s29304204/,No,82,52,52,plastic,138.45
Chairs,295,https://www.ikea.com/sa/en/p/henriksdal-chair-dark-brown-orrsta-light-grey-s49220374/,Yes,97,58,51,wood,236
Chairs,695,https://www.ikea.com/sa/en/p/henriksdal-bar-stool-with-backrest-brown-black-glose-black-90319918/,No,102,51,40,wood,507.35
Chairs,260,https://www.ikea.com/sa/en/p/norraryd-chair-black-40280843/,No,83,51,47,wood,184.6
Chairs,1700,https://www.ikea.com/sa/en/p/vimle-chaise-longue-gunnared-medium-grey-s19298265/,Yes,83,164,111,plastic,1360
